iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
100,0.0462215830188057,0.196561,0.00348352973932503,0.14,0.576219877795131,0.011481007298872676,[0.         0.         0.         0.         0.20229693 0.         0.         0.         0.05343038 0.         0.         0.01867217 0.02022835 0.02557433 0.02822928 0.         0.         0.         0.         0.         0.03080676 0.         0.         0.         0.         0.19917801 0.02823056 0.39335323 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
110,0.04499242375296736,0.150907,0.0032590198938720026,0.14400000000000002,0.5651155472515784,0.05811390762490426,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
120,0.04499242375296736,0.150907,0.0032590198938720026,0.14800000000000002,0.554225208209486,-0.0511400286567562,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
130,0.04499242375296736,0.150907,0.0032590198938720026,0.15200000000000002,0.5435447368396396,-0.029951741888627845,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
140,0.04499242375296736,0.150907,0.0032590198938720026,0.156,0.5330700887831185,-0.0363266516147331,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
150,0.04499242375296736,0.150907,0.0032590198938720026,0.16,0.5227972976198237,-0.104219666107402,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
160,0.04499242375296736,0.150907,0.0032590198938720026,0.164,0.5127224733665192,0.058861105930721164,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
170,0.04499242375296736,0.150907,0.0032590198938720026,0.168,0.5028418010038177,-0.12464569873811342,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
180,0.04499242375296736,0.150907,0.0032590198938720026,0.17200000000000001,0.4931515390315523,0.012149144291654018,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
190,0.04499242375296736,0.150907,0.0032590198938720026,0.176,0.48364801805198804,0.0328895309751041,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
