iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
100,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,0.054921140225188785,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
110,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,-0.027580864488016357,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
120,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.05511878916955609,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
130,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.038174293114615454,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
140,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.004675157320313042,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
150,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.12613637438667816,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
160,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.09081086120114962,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
170,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.05211503851438291,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
180,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,-0.02377421448249485,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
190,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.013570907471238411,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
