iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
110,0.041803940903847064,0.004676008818449786,0.7,-8.289998859862555,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
120,0.041803940903847064,0.004676008818449786,0.7,7.05643740610102,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
130,0.041803940903847064,0.004676008818449786,0.7,9.345458041074144,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
140,0.041803940903847064,0.004676008818449786,0.7,1.7625012409335936,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
150,0.041803940903847064,0.004676008818449786,0.7,-10.441186024503228,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
160,0.041803940903847064,0.004676008818449786,0.7,-7.305084239405329,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
170,0.041803940903847064,0.004676008818449786,0.7,6.076502822011505,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
180,0.041803940903847064,0.004676008818449786,0.7,7.227355101927813,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
190,0.041803940903847064,0.004676008818449786,0.7,9.583333603129855,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
200,0.041803940903847064,0.004676008818449786,0.7,-7.5963728843070975,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
