iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
10000,0.11026213921395277,0.003706196865518785,0.5,0.9563736701491454,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
11000,0.11026213921395277,0.003706196865518785,0.5,0.03265603778391135,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
12000,0.11026213921395277,0.003706196865518785,0.5,0.0863861520770727,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
13000,0.11026213921395277,0.003706196865518785,0.5,-0.30752999695344996,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
14000,0.11026213921395277,0.003706196865518785,0.5,-0.006708150785170455,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
15000,0.11026213921395277,0.003706196865518785,0.5,0.41164445083767714,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
16000,0.11026213921395277,0.003706196865518785,0.5,-0.36623511313431145,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
17000,0.11026213921395277,0.003706196865518785,0.5,0.5393839072277308,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
18000,0.11026213921395277,0.003706196865518785,0.5,-0.24882519746459794,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
19000,0.11026213921395277,0.003706196865518785,0.5,-0.43858399083129157,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
20000,0.11026213921395277,0.003706196865518785,0.5,-0.1119043272294208,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
21000,0.11026213921395277,0.003706196865518785,0.5,0.33434086756194875,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
22000,0.11026213921395277,0.003706196865518785,0.5,-0.04600591791143759,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
23000,0.11026213921395277,0.003706196865518785,0.5,0.08427485584389767,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
24000,0.11026213921395277,0.003706196865518785,0.5,-0.2200569248076932,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
25000,0.11026213921395277,0.003706196865518785,0.5,-0.2582565612974339,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
26000,0.11026213921395277,0.003706196865518785,0.5,-0.08015466300791814,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
