iter,cost,risk,return,par,bw,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1000,0.05631494974199675,0.116946,0.004316100516006487,0.16,1.6543946674462313,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1100,0.05631494974199675,0.116946,0.004316100516006487,0.16599999999999998,1.623304655449,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1200,0.05631494974199675,0.116946,0.004316100516006487,0.172,1.592798898747683,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1300,0.05631494974199675,0.116946,0.004316100516006487,0.178,1.562866417795189,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1400,0.05631494974199675,0.116946,0.004316100516006487,0.184,1.5334964393762385,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1500,0.05631494974199675,0.116946,0.004316100516006487,0.19,1.5046783927299003,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1600,0.05631494974199675,0.116946,0.004316100516006487,0.196,1.4764019057449906,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1700,0.05631494974199675,0.116946,0.004316100516006487,0.202,1.4486568012269727,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1800,0.05631494974199675,0.116946,0.004316100516006487,0.208,1.4214330932350094,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
1900,0.05631494974199675,0.116946,0.004316100516006487,0.214,1.3947209834878507,[0.         0.         0.         0.02530714 0.         0.         0.         0.02442078 0.09694336 0.         0.         0.02863898 0.         0.         0.10422552 0.         0.         0.07502588 0.02085999 0.         0.08839439 0.         0.         0.         0.         0.48776922 0.         0.04841476 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
