iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
100,0.046394248791459,0.193885,0.003939384464396597,0.14,0.7224674055842076,0.005001481401239043,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
110,0.046394248791459,0.193885,0.003939384464396597,0.14400000000000002,0.7067663001353996,0.04986805628507577,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
120,0.046394248791459,0.193885,0.003939384464396597,0.14800000000000002,0.6914064207549362,0.027038322288345143,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
130,0.046394248791459,0.193885,0.003939384464396597,0.15200000000000002,0.6763803517082948,-0.01612433494925951,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
140,0.046394248791459,0.193885,0.003939384464396597,0.156,0.6616808384242509,0.004365772250933085,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
150,0.046394248791459,0.193885,0.003939384464396597,0.16,0.647300783992378,0.12329838983406032,[0.         0.         0.         0.         0.15002321 0.         0.         0.         0.03463204 0.         0.02236255 0.         0.         0.         0.03969011 0.         0.02650866 0.         0.         0.         0.         0.         0.         0.0251892  0.         0.33061062 0.         0.30510868 0.         0.02726577 0.03860916],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
160,0.04417911052994171,0.187749,0.0037661946343613907,0.164,0.6332332457366666,0.038814541472287606,[0.         0.03110704 0.         0.         0.13768831 0.         0.02049876 0.         0.08748305 0.         0.02700904 0.         0.         0.         0.         0.         0.02662567 0.         0.         0.         0.         0.         0.         0.         0.         0.041864   0.         0.57523333 0.03455993 0.         0.01793086],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
170,0.04417911052994171,0.187749,0.0037661946343613907,0.168,0.6194714318636066,0.005932124251413654,[0.         0.03110704 0.         0.         0.13768831 0.         0.02049876 0.         0.08748305 0.         0.02700904 0.         0.         0.         0.         0.         0.02662567 0.         0.         0.         0.         0.         0.         0.         0.         0.041864   0.         0.57523333 0.03455993 0.         0.01793086],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
180,0.040975390002083,0.179918,0.0029984633408660756,0.17200000000000001,0.6060086981831168,0.03865355343764293,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
190,0.040975390002083,0.179918,0.0029984633408660756,0.176,0.5928385449007361,-0.05637887573498988,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
200,0.040975390002083,0.179918,0.0029984633408660756,0.18,0.5799546134795289,0.029635099152109164,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
