iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
110,0.07205963414758226,0.004150818857272651,0.5,9.985452173945173,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
120,0.07205963414758226,0.004150818857272651,0.5,0.288976574466915,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
130,0.07205963414758226,0.004150818857272651,0.5,-2.9636289606507207,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
140,0.07205963414758226,0.004150818857272651,0.5,1.8920421672881333,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
150,0.07205963414758226,0.004150818857272651,0.5,5.960403177623155,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
160,0.07205963414758226,0.004150818857272651,0.5,3.4731144128400486,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
170,0.07205963414758226,0.004150818857272651,0.5,0.3556438560047105,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
180,0.07205963414758226,0.004150818857272651,0.5,2.4877892865358344,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
190,0.07205963414758226,0.004150818857272651,0.5,0.6557889506364855,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
200,0.07205963414758226,0.004150818857272651,0.5,0.3791792052573073,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
