iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
100,0.1365646621149204,0.005222735739975831,0.7,-1.4536297284787547,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
110,0.1365646621149204,0.005222735739975831,0.7,0.01284350930002328,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
120,0.1365646621149204,0.005222735739975831,0.7,-1.4756774900946223,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
130,0.1365646621149204,0.005222735739975831,0.7,-0.352034482444302,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
140,0.1365646621149204,0.005222735739975831,0.7,-0.5046792693474383,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
150,0.1365646621149204,0.005222735739975831,0.7,-0.7133418976473047,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
160,0.1365646621149204,0.005222735739975831,0.7,-0.5771198163750088,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
170,0.1365646621149204,0.005222735739975831,0.7,1.5912248680058496,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
180,0.1365646621149204,0.005222735739975831,0.7,2.166280787512673,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
190,0.1365646621149204,0.005222735739975831,0.7,0.7310453530455483,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
