iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
100,0.036925872510267174,0.004467883932070357,0.4,16.72511868448786,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
110,0.036925872510267174,0.004467883932070357,0.4,-7.91540545464875,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
120,0.036925872510267174,0.004467883932070357,0.4,8.831356478307033,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
130,0.036925872510267174,0.004467883932070357,0.4,-7.085445382603988,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
140,0.036925872510267174,0.004467883932070357,0.4,22.04729898374186,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
150,0.036925872510267174,0.004467883932070357,0.4,6.079036389552158,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
160,0.036925872510267174,0.004467883932070357,0.4,2.3444742184953684,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
170,0.036925872510267174,0.004467883932070357,0.4,-12.591335676800796,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
180,0.036925872510267174,0.004467883932070357,0.4,-7.472921853766889,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
190,0.036925872510267174,0.004467883932070357,0.4,-19.66622613042722,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
